"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","Canada","2016A000011124","Architectural, engineering and related services price index","2018=100","390","units","0","v1064338901","1.1","101.4","","","","1"
"2013-01","Canada","2016A000011124","Architectural and landscape architectural services","2018=100","390","units","0","v1064338907","1.2","88.9","","","","1"
"2013-01","Canada","2016A000011124","Engineering services","2018=100","390","units","0","v1064338913","1.3","103.5","","","","1"
"2013-01","Canada","2016A000011124","Surveying and mapping services","2018=100","390","units","0","v1064338919","1.4","98.9","","","","1"
"2013-01","Atlantic Region","2016A00011","Architectural and landscape architectural services","2018=100","390","units","0","v1064338908","2.2","","..","","","1"
"2013-01","Atlantic Region","2016A00011","Engineering services","2018=100","390","units","0","v1064338914","2.3","","..","","","1"
"2013-01","Atlantic Region","2016A00011","Surveying and mapping services","2018=100","390","units","0","v1064338920","2.4","","..","","","1"
"2013-01","Quebec","2016A000224","Architectural and landscape architectural services","2018=100","390","units","0","v1064338909","3.2","","..","","","1"
"2013-01","Quebec","2016A000224","Engineering services","2018=100","390","units","0","v1064338915","3.3","","..","","","1"
"2013-01","Quebec","2016A000224","Surveying and mapping services","2018=100","390","units","0","v1064338921","3.4","","..","","","1"
"2013-01","Ontario","2016A000235","Architectural and landscape architectural services","2018=100","390","units","0","v1064338910","4.2","","..","","","1"
"2013-01","Ontario","2016A000235","Engineering services","2018=100","390","units","0","v1064338916","4.3","","..","","","1"
"2013-01","Ontario","2016A000235","Surveying and mapping services","2018=100","390","units","0","v1064338922","4.4","","..","","","1"
"2013-01","Prairie Region","2016A00014","Architectural and landscape architectural services","2018=100","390","units","0","v1064338911","5.2","","..","","","1"
"2013-01","Prairie Region","2016A00014","Engineering services","2018=100","390","units","0","v1064338917","5.3","","..","","","1"
"2013-01","Prairie Region","2016A00014","Surveying and mapping services","2018=100","390","units","0","v1064338923","5.4","","..","","","1"
"2013-01","British Columbia and territories","","Architectural and landscape architectural services","2018=100","390","units","0","v1064338912","6.2","","..","","","1"
"2013-01","British Columbia and territories","","Engineering services","2018=100","390","units","0","v1064338918","6.3","","..","","","1"
"2013-01","British Columbia and territories","","Surveying and mapping services","2018=100","390","units","0","v1064338924","6.4","","..","","","1"
"2013-04","Canada","2016A000011124","Architectural, engineering and related services price index","2018=100","390","units","0","v1064338901","1.1","102.0","","","","1"
