Date,Region,Service Category,Index Value
2018-01-01,Canada,"Architectural, engineering and related services price index",99.5
2018-01-01,Canada,Architectural and landscape architectural services,99.3
2018-01-01,Canada,Engineering services,99.5
2018-01-01,Canada,Surveying and mapping services,99.9
2018-01-01,Atlantic Region,"Architectural, engineering and related services price index",100.0
2018-01-01,Atlantic Region,Architectural and landscape architectural services,100.1
2018-01-01,Atlantic Region,Engineering services,100.0
2018-01-01,Atlantic Region,Surveying and mapping services,99.4
2018-01-01,Quebec,"Architectural, engineering and related services price index",99.4
2018-01-01,Quebec,Architectural and landscape architectural services,99.0
2018-01-01,Quebec,Engineering services,99.4
2018-01-01,Quebec,Surveying and mapping services,99.9
2018-01-01,Ontario,"Architectural, engineering and related services price index",99.3
2018-01-01,Ontario,Architectural and landscape architectural services,99.5
2018-01-01,Ontario,Engineering services,99.3
2018-01-01,Ontario,Surveying and mapping services,99.6
2018-01-01,Prairie Region,"Architectural, engineering and related services price index",99.5
2018-01-01,Prairie Region,Architectural and landscape architectural services,99.3
2018-01-01,Prairie Region,Engineering services,99.5
2018-01-01,Prairie Region,Surveying and mapping services,100.0
2018-01-01,British Columbia and territories,"Architectural, engineering and related services price index",99.7
2018-01-01,British Columbia and territories,Architectural and landscape architectural services,98.7
2018-01-01,British Columbia and territories,Engineering services,99.8
2018-01-01,British Columbia and territories,Surveying and mapping services,99.9
2018-04-01,Canada,"Architectural, engineering and related services price index",99.9
2018-04-01,Canada,Architectural and landscape architectural services,99.8
2018-04-01,Canada,Engineering services,99.9
2018-04-01,Canada,Surveying and mapping services,99.9
2018-04-01,Atlantic Region,"Architectural, engineering and related services price index",99.7
2018-04-01,Atlantic Region,Architectural and landscape architectural services,100.0
2018-04-01,Atlantic Region,Engineering services,99.7
2018-04-01,Atlantic Region,Surveying and mapping services,99.4
2018-04-01,Quebec,"Architectural, engineering and related services price index",100.0
2018-04-01,Quebec,Architectural and landscape architectural services,100.2
2018-04-01,Quebec,Engineering services,100.0
2018-04-01,Quebec,Surveying and mapping services,99.9
2018-04-01,Ontario,"Architectural, engineering and related services price index",99.9
2018-04-01,Ontario,Architectural and landscape architectural services,100.1
2018-04-01,Ontario,Engineering services,99.8
2018-04-01,Ontario,Surveying and mapping services,99.6
2018-04-01,Prairie Region,"Architectural, engineering and related services price index",99.8
